Data;Ora;μg/m3
01/05/2016;03.51.52;0,00
01/05/2016;03.52.52;0,00
01/05/2016;03.53.52;0,00
01/05/2016;03.54.52;0,00
01/05/2016;03.55.52;0,00
01/05/2016;03.56.52;0,00
01/05/2016;03.57.52;0,00
01/05/2016;03.58.52;0,00
01/05/2016;03.59.52;0,00
01/05/2016;04.00.52;0,00
01/05/2016;04.01.52;0,00
01/05/2016;04.02.52;0,00
01/05/2016;04.03.52;0,00
01/05/2016;04.04.52;0,00
01/05/2016;04.05.52;0,00
01/05/2016;04.06.52;0,00
01/05/2016;04.07.52;0,00
01/05/2016;04.08.52;0,00
01/05/2016;04.09.52;0,00
01/05/2016;04.10.52;0,00
01/05/2016;04.11.52;0,00
01/05/2016;04.12.52;0,00
01/05/2016;04.13.52;0,00
01/05/2016;04.14.52;0,00
01/05/2016;04.15.52;0,00
01/05/2016;04.16.52;0,00
01/05/2016;04.17.52;0,00
01/05/2016;04.18.52;0,00
01/05/2016;04.19.52;0,00
01/05/2016;04.20.52;0,00
01/05/2016;04.21.52;0,00
01/05/2016;04.22.52;0,00
01/05/2016;04.23.52;0,00
01/05/2016;04.24.52;0,00
01/05/2016;04.25.52;0,00
01/05/2016;04.26.52;0,00
01/05/2016;04.27.52;0,00
01/05/2016;04.28.52;0,00
01/05/2016;04.29.52;0,00
01/05/2016;04.30.52;0,00
01/05/2016;04.31.52;0,00
01/05/2016;04.32.52;0,00
01/05/2016;04.33.52;0,00
01/05/2016;04.34.52;0,00
01/05/2016;04.35.52;0,00
01/05/2016;04.36.52;0,00
01/05/2016;04.37.52;0,00
01/05/2016;04.38.52;0,00
01/05/2016;04.39.52;0,00
01/05/2016;04.40.52;0,00
01/05/2016;04.41.52;0,00
01/05/2016;04.42.52;0,00
01/05/2016;04.43.52;0,00
01/05/2016;04.44.52;0,00
01/05/2016;04.45.52;0,00
01/05/2016;04.46.52;0,00
01/05/2016;04.47.52;0,00
01/05/2016;04.48.52;0,00
01/05/2016;04.49.52;0,00
01/05/2016;04.50.52;0,00
01/05/2016;04.51.52;0,00
01/05/2016;04.52.52;0,00
01/05/2016;04.53.52;0,00
01/05/2016;04.54.52;0,00
01/05/2016;04.55.52;0,00
01/05/2016;04.56.52;0,00
01/05/2016;04.57.52;0,00
01/05/2016;04.58.52;0,00
01/05/2016;04.59.52;0,00
01/05/2016;05.00.52;0,00
01/05/2016;05.01.52;0,00
01/05/2016;05.02.52;0,00
01/05/2016;05.03.52;0,00
01/05/2016;05.04.52;0,00
01/05/2016;05.05.52;0,00
01/05/2016;05.06.52;0,00
