Data;Ora;μg/m3
01/05/2016;04.23.52;0,97
01/05/2016;04.24.52;0,88
01/05/2016;04.25.52;0,84
01/05/2016;04.26.52;0,81
01/05/2016;04.27.52;0,84
01/05/2016;04.28.52;0,89
01/05/2016;04.29.52;0,92
01/05/2016;04.30.52;0,82
01/05/2016;04.31.52;0,83
01/05/2016;04.32.52;0,87
01/05/2016;04.33.52;0,78
01/05/2016;04.34.52;0,84
01/05/2016;04.35.52;0,88
01/05/2016;04.36.52;0,91
01/05/2016;04.37.52;0,98
01/05/2016;04.38.52;0,90
01/05/2016;04.39.52;0,90
01/05/2016;04.40.53;0,90
01/05/2016;04.41.52;0,93
01/05/2016;04.42.52;0,95
01/05/2016;04.43.52;0,95
01/05/2016;04.44.52;1,02
01/05/2016;04.45.52;1,17
01/05/2016;04.46.52;1,09
01/05/2016;04.47.52;0,92
01/05/2016;04.48.53;0,94
01/05/2016;04.49.52;0,92
01/05/2016;04.50.52;1,02
01/05/2016;04.51.52;0,96
01/05/2016;04.52.52;0,93
01/05/2016;04.53.53;1,04
01/05/2016;04.54.52;0,93
01/05/2016;04.55.52;0,96
01/05/2016;04.56.52;0,97
01/05/2016;04.57.52;1,01
01/05/2016;04.58.52;0,95
01/05/2016;04.59.52;1,00
01/05/2016;05.00.52;0,96
01/05/2016;05.01.52;0,92
01/05/2016;05.02.52;1,02
01/05/2016;05.03.52;1,02
01/05/2016;05.04.52;0,99
01/05/2016;05.05.52;0,94
01/05/2016;05.06.52;0,95
01/05/2016;05.07.52;0,91
01/05/2016;05.08.52;0,97
01/05/2016;05.09.52;0,98
01/05/2016;05.10.52;0,84
01/05/2016;05.11.52;0,89
01/05/2016;05.12.52;1,00
01/05/2016;05.13.52;0,98
01/05/2016;05.14.52;0,94
01/05/2016;05.15.52;0,99
01/05/2016;05.16.52;0,92
01/05/2016;05.17.52;0,98
01/05/2016;05.18.52;0,98
01/05/2016;05.19.52;0,97
01/05/2016;05.20.52;0,95
01/05/2016;05.21.52;0,95
01/05/2016;05.22.52;1,03
01/05/2016;05.23.52;1,06
01/05/2016;05.24.52;0,99
01/05/2016;05.25.52;0,98
01/05/2016;05.26.52;0,88
01/05/2016;05.27.52;0,96
01/05/2016;05.28.52;0,97
01/05/2016;05.29.52;0,90
01/05/2016;05.30.52;0,93
01/05/2016;05.31.52;0,91
01/05/2016;05.32.52;0,93
01/05/2016;05.33.53;0,97
01/05/2016;05.34.52;0,99
01/05/2016;05.35.52;0,98
01/05/2016;05.36.52;0,94
01/05/2016;05.37.52;1,01
01/05/2016;05.38.52;1,02
01/05/2016;05.39.52;0,95
01/05/2016;05.40.52;1,02
01/05/2016;05.41.52;1,00
01/05/2016;05.42.52;0,95
01/05/2016;05.43.52;1,01
01/05/2016;05.44.52;1,07
01/05/2016;05.45.52;0,89
01/05/2016;05.46.52;0,89
01/05/2016;05.47.52;1,06
01/05/2016;05.48.52;1,00
01/05/2016;05.49.52;0,95
01/05/2016;05.50.52;0,94
01/05/2016;05.51.52;1,00
01/05/2016;05.52.52;1,06
01/05/2016;05.53.52;0,91
01/05/2016;05.54.52;1,07
01/05/2016;05.55.52;0,89
01/05/2016;05.56.52;1,05
01/05/2016;05.57.53;0,95
01/05/2016;05.58.52;1,11
01/05/2016;05.59.52;0,95
01/05/2016;06.00.53;1,07
01/05/2016;06.01.52;1,01
01/05/2016;06.02.52;0,99
01/05/2016;06.03.52;0,98
01/05/2016;06.04.52;0,89
01/05/2016;06.05.52;0,94
01/05/2016;06.06.52;0,87
01/05/2016;06.07.52;0,94
01/05/2016;06.08.52;1,09
01/05/2016;06.09.52;0,99
01/05/2016;06.10.52;0,97
01/05/2016;06.11.52;0,95
01/05/2016;06.12.52;0,96
01/05/2016;06.13.52;1,04
01/05/2016;06.14.52;0,90
01/05/2016;06.15.52;1,05
01/05/2016;06.16.52;1,15
01/05/2016;06.17.52;1,02
01/05/2016;06.18.52;0,99
01/05/2016;06.19.52;0,92
01/05/2016;06.20.52;0,90
01/05/2016;06.21.52;0,89
01/05/2016;06.22.52;0,92
01/05/2016;06.23.52;0,96
01/05/2016;06.24.52;0,98
01/05/2016;06.25.52;0,94
01/05/2016;06.26.53;1,01
01/05/2016;06.27.52;1,10
01/05/2016;06.28.52;0,98
01/05/2016;06.29.52;1,01
01/05/2016;06.30.52;0,98
